"58","001.008.111.000","001.008.111.255","17329920","17330175","中国","香港","*","knet.cn","*","*
"
"59","001.008.112.000","001.008.149.255","17330176","17339903","中国","中国","*","knet.cn","*","*
"
"60","001.008.150.000","001.008.150.255","17339904","17340159","中国","香港","*","knet.cn","*","*
"
"61","001.008.151.000","001.008.151.255","17340160","17340415","中国","香港","*","knet.cn","*","*
"
"62","001.008.152.000","001.008.152.255","17340416","17340671","KNET.CN","KNET.CN","*","knet.cn","*","*
"
"63","001.008.153.000","001.008.153.255","17340672","17340927","KNET.CN","KNET.CN","*","knet.cn","*","*
"
"64","001.008.154.000","001.008.237.255","17340928","17362431","中国","中国","*","knet.cn","*","*
"
"65","001.008.238.000","001.008.238.255","17362432","17362687","中国","北京","北京","knet.cn","科技网/联通/电信","*
"
"66","001.008.239.000","001.008.239.255","17362688","17362943","中国","北京","北京","knet.cn","科技网/联通/电信","*
"
"67","001.008.240.000","001.008.240.255","17362944","17363199","KNET.CN","KNET.CN","*","knet.cn","*","*
"
"68","001.008.241.000","001.008.241.255","17363200","17363455","KNET.CN","KNET.CN","*","knet.cn","*","*
"
"69","001.008.242.000","001.008.242.255","17363456","17363711","KNET.CN","KNET.CN","*","knet.cn","*","*
"
"70","001.008.243.000","001.008.243.255","17363712","17363967","KNET.CN","KNET.CN","*","knet.cn","*","*
"
"71","001.008.244.000","001.008.255.255","17363968","17367039","中国","中国","*","knet.cn","*","*
"
"72","001.009.000.000","001.009.240.255","17367040","17428735","马来西亚","马来西亚","*","*","tm.com.my","*
"
"73","001.009.241.000","001.009.241.003","17428736","17428739","中国","香港","*","*","tm.com.my","*
"
"74","001.009.241.004","001.009.241.017","17428740","17428753","TMNET 骨干网","TMNET 骨干网","*","*","tm.com.my","*
"
"75","001.009.241.018","001.009.241.018","17428754","17428754","安哥拉","安哥拉","*","*","tm.com.my","*
"
"76","001.009.241.019","001.009.241.255","17428755","17428991","TMNET 骨干网","TMNET 骨干网","*","*","tm.com.my","*
"
"77","001.009.242.000","001.009.243.255","17428992","17429503","马来西亚","马来西亚","*","*","tm.com.my","*
"
"78","001.009.244.000","001.009.244.048","17429504","17429552","马来西亚","马来西亚","*","*","tm.com.my","*
"
"79","001.009.244.049","001.009.244.049","17429553","17429553","中国","香港","*","*","tm.com.my","*
"
"80","001.009.244.050","001.009.244.255","17429554","17429759","马来西亚","马来西亚","*","*","tm.com.my","*
"
"81","001.009.245.000","001.009.255.255","17429760","17432575","马来西亚","马来西亚","*","*","tm.com.my","*
"
"82","001.010.000.000","001.010.007.255","17432576","17434623","中国","广东","*","*","电信","*
"
"83","001.010.008.000","001.010.009.255","17434624","17435135","中国","福建","*","*","电信","*
"
"84","001.010.010.000","001.010.010.255","17435136","17435391","澳大利亚","澳大利亚","*","apnic.net","*","*
"
"85","001.010.011.000","001.010.015.255","17435392","17436671","中国","福建","*","*","电信","*
"
"86","001.010.016.000","001.010.127.255","17436672","17465343","中国","广东","*","*","电信","*
"
"87","001.010.128.000","001.010.255.255","17465344","17498111","泰国","泰国","*","*","tot.co.th","*
"
"88","001.011.000.000","001.011.063.255","17498112","17514495","韩国","仁川","*","cj.net","*","*
"
"89","001.011.064.000","001.011.095.255","17514496","17522687","韩国","首尔","*","cj.net","*","*
"
"90","001.011.096.000","001.011.127.255","17522688","17530879","韩国","忠清南道","*","cj.net","*","*
"
"91","001.011.128.000","001.011.255.255","17530880","17563647","韩国","京畿道","富川市","cj.net","*","*
"
"92","001.012.000.000","001.012.255.255","17563648","17629183","中国","北京","北京","*","方正宽带/电信","*
"
"93","001.013.000.000","001.013.071.255","17629184","17647615","中国","吉林","长春","*","方正宽带/电信","*
"
"94","001.013.072.000","001.013.087.255","17647616","17651711","中国","吉林","长春","*","方正宽带/电信","*
"
"95","001.013.088.000","001.013.095.255","17651712","17653759","中国","吉林","长春","*","方正宽带/电信","*
"
"96","001.013.096.000","001.013.127.255","17653760","17661951","中国","天津","天津","*","方正宽带/电信","*
"
"97","001.013.128.000","001.013.191.255","17661952","17678335","中国","吉林","长春","*","方正宽带/电信","*
"
"98","001.013.192.000","001.013.255.255","17678336","17694719","中国","辽宁","大连","*","方正宽带/电信","*
"
"99","001.014.000.000","001.014.095.255","17694720","17719295","中国","辽宁","大连","*","方正宽带/电信","*
"
"100","001.014.096.000","001.014.103.255","17719296","17721343","中国","辽宁","鞍山","*","方正宽带/电信","*
"
"101","001.014.104.000","001.014.111.255","17721344","17723391","中国","辽宁","大连","*","方正宽带/电信","*
"
"102","001.014.112.000","001.014.127.255","17723392","17727487","中国","辽宁","大连","*","方正宽带/电信","*
"
"103","001.014.128.000","001.014.191.255","17727488","17743871","中国","上海","上海","*","方正宽带/电信","*
"
"104","001.014.192.000","001.014.223.255","17743872","17752063","中国","吉林","长春","*","方正宽带/电信","*
"
"105","001.014.224.000","001.014.255.255","17752064","17760255","中国","天津","天津","*","方正宽带/电信","*
"
"106","001.015.000.000","001.015.119.255","17760256","17790975","中国","北京","北京","*","方正宽带/电信","*
"
"107","001.015.120.000","001.015.127.255","17790976","17793023","中国","天津","天津","*","方正宽带/电信","*
"
"108","001.015.128.000","001.015.159.255","17793024","17801215","中国","北京","北京","*","方正宽带/电信","*
"
"109","001.015.160.000","001.015.167.255","17801216","17803263","中国","天津","天津","*","方正宽带/电信","*
"
"110","001.015.168.000","001.015.207.255","17803264","17813503","中国","北京","北京","*","方正宽带/电信","*
"
"111","001.015.208.000","001.015.223.255","17813504","17817599","中国","辽宁","大连","*","方正宽带/电信","*
"
"112","001.015.224.000","001.015.255.255","17817600","17825791","中国","天津","天津","*","方正宽带/电信","*
"
"113","001.016.000.000","001.016.063.255","17825792","17842175","韩国","首尔","*","*","daoucloud.com","*
"
"114","001.016.064.000","001.016.255.255","17842176","17891327","韩国","韩国","*","*","*","*
"
"115","001.017.000.000","001.017.255.255","17891328","17956863","韩国","韩国","*","*","*","*
"
"116","001.018.000.000","001.018.116.255","17956864","17986815","韩国","韩国","*","*","*","*
"
"117","001.018.117.000","001.018.119.255","17986816","17987583","韩国","韩国","*","nic.or.kr","*","*
"
"118","001.018.120.000","001.018.121.255","17987584","17988095","韩国","韩国","*","nic.or.kr","*","*
"
"119","001.018.122.000","001.018.122.255","17988096","17988351","美国","加利福尼亚州","*","nic.or.kr","*","*
"
"120","001.018.123.000","001.018.135.255","17988352","17991679","韩国","韩国","*","nic.or.kr","*","*
"
"121","001.018.136.000","001.018.255.255","17991680","18022399","韩国","韩国","*","*","*","*
"
"122","001.019.000.000","001.019.255.255","18022400","18087935","韩国","韩国","*","*","*","*
"
"123","001.020.000.000","001.020.255.255","18087936","18153471","泰国","泰国","*","*","tot.co.th","*
"
"124","001.021.000.000","001.021.255.255","18153472","18219007","日本","日本","*","*","vectant.ne.jp","*
"
"125","001.022.000.000","001.022.004.255","18219008","18220287","印度","印度","*","*","tikona.in","*
"
"126","001.022.005.000","001.022.005.255","18220288","18220543","印度","马哈拉施特拉邦","孟买","*","tikona.in","*
"
"127","001.022.006.000","001.022.006.255","18220544","18220799","印度","印度","*","*","tikona.in","*
"
"128","001.022.007.000","001.022.007.255","18220800","18221055","印度","马哈拉施特拉邦","孟买","*","tikona.in","*
"
"129","001.022.008.000","001.022.054.255","18221056","18233087","印度","印度","*","*","tikona.in","*
"
"130","001.022.055.000","001.022.055.255","18233088","18233343","印度","马哈拉施特拉邦","孟买","*","tikona.in","*
"
"131","001.022.056.000","001.022.100.255","18233344","18244863","印度","印度","*","*","tikona.in","*
"
"132","001.022.101.000","001.022.101.255","18244864","18245119","印度","马哈拉施特拉邦","孟买","*","tikona.in","*
"
"133","001.022.102.000","001.022.107.255","18245120","18246655","印度","印度","*","*","tikona.in","*
"
"134","001.022.108.000","001.022.108.255","18246656","18246911","印度","马哈拉施特拉邦","孟买","*","tikona.in","*
"
"135","001.022.109.000","001.022.141.255","18246912","18255359","印度","印度","*","*","tikona.in","*
"
